id,geokret,lat,lon,elevation,country,distance,waypoint,author,comment,pictures_count,comments_count,username,app,app_ver,created_on_datetime,moved_on_datetime,updated_on_datetime,move_type,position,comment_hidden
6117217,46657,43.69365,6.86097,746,fr,0,GC5BRQK,1,,0,0,NULL,www,v2.66.0-29-g7f05a325,2026-02-19 13:33:03+00,2026-02-19 13:32:54+00,2026-02-19 13:33:03+00,0,0101000020E61000003659A31EA2711B40696FF085C9D84540,False
6117216,46657,NULL,NULL,NULL,NULL,NULL,NULL,1,asc,0,0,NULL,www,v2.66.0-29-g7f05a325,2026-02-19 13:32:25+00,2026-02-19 13:32:15+00,2026-02-19 13:32:25+00,1,NULL,False
6117215,46657,43.69365,6.86097,746,fr,0,GC5BRQK,1,,0,1,NULL,www,v2.66.0-29-g7f05a325,2026-02-19 13:22:14+00,2026-02-19 13:22:07+00,2026-02-19 13:33:03+00,0,0101000020E61000003659A31EA2711B40696FF085C9D84540,False
6117214,46657,43.69365,6.86097,746,fr,0,GC5BRQK,1,,0,0,NULL,www,v2.66.0-29-g7f05a325,2026-02-19 13:20:13+00,2026-02-19 13:19:57+00,2026-02-19 13:33:03+00,0,0101000020E61000003659A31EA2711B40696FF085C9D84540,False
6117213,46657,43.69365,6.86097,746,fr,0,GC5BRQK,1,,0,0,NULL,www,v2.66.0-29-g7f05a325,2026-02-19 13:13:03+00,2026-02-19 13:12:53+00,2026-02-19 13:33:03+00,0,0101000020E61000003659A31EA2711B40696FF085C9D84540,False
6117212,46657,43.69365,6.86097,746,fr,0,GC5BRQK,1,,0,0,NULL,www,v2.66.0-29-g7f05a325,2026-02-19 12:56:42+00,2026-02-19 12:56:23+00,2026-02-19 13:33:03+00,0,0101000020E61000003659A31EA2711B40696FF085C9D84540,False
6117211,46657,43.69365,6.86097,746,fr,0,GC5BRQK,1,,0,0,NULL,www,v2.66.0-29-g7f05a325,2026-02-19 12:53:23+00,2026-02-19 12:53:14+00,2026-02-19 13:33:03+00,0,0101000020E61000003659A31EA2711B40696FF085C9D84540,False
6117209,46657,43.69365,6.86097,746,fr,0,GC5BRQK,1,,0,0,NULL,www,v2.66.0-29-g7f05a325,2026-02-19 12:07:45+00,2026-02-19 12:07:22+00,2026-02-19 13:33:03+00,0,0101000020E61000003659A31EA2711B40696FF085C9D84540,False
6117208,46657,NULL,NULL,NULL,NULL,NULL,NULL,26422,,0,0,NULL,www,v2.66.0-29-g7f05a325,2026-02-19 12:06:51+00,2026-02-19 12:06:43+00,2026-02-19 12:06:51+00,2,NULL,False
6117207,46657,43.69365,6.86097,746,fr,0,GC5BRQK,26422,,0,0,NULL,www,v2.66.0-29-g7f05a325,2026-02-19 12:06:01+00,2026-02-19 12:05:49+00,2026-02-19 13:33:03+00,3,0101000020E61000003659A31EA2711B40696FF085C9D84540,False
