id,geokret,author,move_type,waypoint,country,lat,lon,moved_on_datetime
17675,1458,1207,0,OP18B9,PL,54.33523,18.59105,2009-04-18 17:45:00+00
17695,1458,1902,1,,,,,2009-04-19 10:30:00+00
17730,1458,1902,0,OP1851,PL,54.55042,18.5597,2009-04-19 15:00:00+00
18257,1458,2730,1,,,,,2009-04-26 10:00:00+00
261084,1458,1207,4,,,,,2009-04-27 10:00:00+00
19580,2972,2404,0,GC168N5,DE,51.39192,12.39568,2009-05-08 16:55:00+00
19669,2972,2898,1,,,,,2009-05-11 17:00:00+00
388111,2972,4821,1,,,,,2010-01-04 11:00:00+00
247686,10312,7401,1,,,,,2010-10-12 06:00:00+00
87328,10312,,1,,,,,2010-10-18 13:53:00+00
89414,10312,,0,GC1DH6G,DE,52.41145,13.10607,2010-10-30 16:00:00+00
287672,9174,13439,3,GC25BNP,TH,9.49847,100.06017,2011-01-30 11:00:00+00
109845,9174,8862,5,GC2REPX,DE,50.67203,8.49108,2011-04-08 17:15:00+00
109846,9174,8862,5,GC2M9BT,DE,50.68302,8.48298,2011-04-08 17:25:00+00
109974,9174,8862,5,GC2K559,DE,50.70317,8.44588,2011-04-09 17:00:00+00
109975,9174,8862,5,GC2N651,DE,50.6993,8.43622,2011-04-09 17:15:00+00
109977,9174,8862,5,GC2KADY,DE,50.7017,8.45515,2011-04-09 17:40:00+00
109848,9174,8862,0,GC2QYQK,DE,50.69512,8.4667,2011-04-10 10:15:00+00
115065,13143,,1,,,,,2011-04-30 12:30:00+00
115070,13143,,0,GC2FJCQ,DE,50.93252,13.31877,2011-04-30 14:59:00+00
114780,13143,,3,GC2FJCQ,DE,50.93252,13.31877,2011-04-30 15:00:00+00
117762,13143,,0,GC2FDTT,DE,50.89783,13.32495,2011-05-14 09:30:00+00
126220,13143,,1,,,,,2011-06-29 11:30:00+00
2628756,86168,39363,5,TR1959,RU,56.83023,37.06392,2011-09-25 10:00:00+00
2628759,86168,39363,5,TR8904,RU,56.89643,37.0448,2011-09-25 11:00:00+00
2628760,86168,39363,5,MS485,RU,56.71155,36.3267,2011-10-08 10:00:00+00
2628761,86168,39363,5,TR7863,RU,56.25645,36.88627,2011-10-08 11:00:00+00
2628762,86168,39363,5,TR1430,RU,56.2485,36.87947,2011-10-08 12:00:00+00
2628763,86168,39363,5,VI7866,RU,56.57128,36.59073,2011-11-04 11:00:00+00
175093,18321,9331,3,OP452A,PL,52.2705,21.0055,2011-12-22 01:18:00+00
175092,18321,9331,1,,,,,2011-12-22 01:19:00+00
175094,18321,9331,5,OP429E,PL,52.13417,21.07312,2011-12-22 04:50:00+00
175095,18321,9331,0,OP452A,PL,52.2705,21.0055,2011-12-25 18:47:00+00
2628764,86168,39363,5,VI7087,BY,55.48472,28.77612,2012-01-02 11:00:00+00
185634,18321,976,0,OP1548,PL,50.45575,18.1752,2012-03-11 11:00:00+00
349316,10987,20118,1,,,,,2012-04-11 10:00:00+00
197179,18321,,0,OP4CC8,PL,52.43223,20.6646,2012-04-17 10:00:00+00
200613,18321,1334,1,,,,,2012-04-26 10:00:00+00
240532,10312,,1,,,,,2012-07-31 10:00:00+00
240536,10312,,0,GC2DXTE,PL,52.9628,14.42595,2012-07-31 12:00:00+00
240539,10312,,1,,,,,2012-07-31 12:01:00+00
240542,10312,,0,GC3PHNF,DE,50.34163,8.71097,2012-08-16 20:00:00+00
240677,10987,12810,0,OP3D9E,PL,52.71403,16.88238,2012-08-17 10:00:00+00
242239,10987,11925,1,,,,,2012-08-20 10:00:00+00
243597,10987,11925,0,OP5753,PL,50.19837,19.02655,2012-08-23 10:00:00+00
246692,10987,11777,1,,,,,2012-08-30 10:00:00+00
249499,10987,11777,0,OP4F4F,PL,50.281,19.12725,2012-09-07 10:00:00+00
348772,10987,,0,,PL,50.28793,18.98692,2013-06-22 07:40:00+00
837523,17593,,1,,,,,2015-12-28 14:30:00+00
854823,17593,,1,,,,,2016-01-24 11:00:00+00
850194,17593,,1,,,,,2016-01-28 11:00:00+00
859449,17593,,0,,GB,55.7919,-4.00342,2016-02-14 11:00:00+00
942751,17593,9667,1,,,,,2016-06-13 09:00:00+00
944942,17593,9667,0,GCVK0Y,DE,51.25062,9.13142,2016-06-19 10:00:00+00
1059207,28018,33412,5,GC1KWRZ,DK,56.17255,8.1232,2017-02-21 10:50:00+00
1059341,28018,33412,5,GC27YPH,,56.04167,8.2,2017-02-21 17:33:00+00
1059627,28018,33412,5,GC1ENQP,DK,57.12125,8.6088,2017-02-22 13:35:00+00
1059733,28018,33412,5,GC547DD,,56.03048,8.06203,2017-02-23 10:58:00+00
1059879,13143,,1,,,,,2017-02-23 12:00:00+00
1059740,28018,33412,5,GC31XYB,DK,56.0482,8.11922,2017-02-23 12:29:00+00
1059744,28018,33412,5,GC18FFC,DK,56.0503,8.10687,2017-02-23 13:05:00+00
1059865,28018,33412,5,GC6YKEX,DK,56.11833,8.13392,2017-02-24 08:59:00+00
1059874,28018,33412,5,GC52EZE,,55.99675,8.10982,2017-02-24 10:09:00+00
1059876,17593,,0,GC1CVB8,DE,48.69558,9.28572,2017-02-24 11:00:00+00
1059881,53187,10370,0,GC3XYQJ,DE,51.67695,11.28487,2017-02-24 11:00:00+00
1059882,53187,10370,1,,,,,2017-02-24 11:05:00+00
1059885,53187,10370,5,GC4VPWK,DE,51.66323,11.30345,2017-02-24 11:20:00+00
1059877,28018,33412,5,GC4P98X,DK,56.09313,8.12425,2017-02-24 11:39:00+00
1059880,13143,,5,GC6KX8E,DE,47.70972,9.27263,2017-02-24 13:00:00+00
