id,geokret,author,move_type,waypoint,country,lat,lon,moved_on_datetime
92501,11165,7445,0,OP2F09,PL,52.22942,20.25383,2010-11-24 11:00:00+00
92679,11165,3807,3,OP2061,PL,52.06523,20.44268,2010-11-26 11:00:00+00
95606,11165,7089,0,OP3018,PL,52.23593,20.24155,2011-01-08 11:00:00+00
97607,11165,101,3,OP03AD,PL,52.194,20.92985,2011-01-24 11:00:00+00
99667,11165,881,0,OP20E6,PL,53.85,17.5125,2011-01-31 11:00:00+00
103829,11165,881,0,OP1F01,PL,52.2509,21.03907,2011-03-09 11:00:00+00
107783,11165,2677,1,,,,,2011-03-31 10:00:00+00
109655,11165,1767,3,OP2EF4,PL,50.0708,19.94975,2011-04-05 21:00:00+00
117844,11165,3889,1,,,,,2011-05-16 10:00:00+00
117845,11165,3889,0,OP24BB,PL,54.34693,18.65498,2011-05-16 16:00:00+00
118219,11165,3880,3,OP3163,PL,54.46802,18.4616,2011-05-19 10:00:00+00
118261,11165,3199,3,OP32C3,PL,54.46983,18.47488,2011-05-19 18:00:00+00
119409,11165,1638,3,OP24BB,PL,54.34693,18.65498,2011-05-25 10:00:00+00
119227,11165,1849,3,,PL,54.38333,18.58417,2011-05-25 19:05:00+00
120148,11165,3889,1,,,,,2011-05-27 10:00:00+00
120147,11165,3889,0,OP30CF,PL,50.56857,19.53382,2011-05-28 10:00:00+00
130849,11165,1675,3,OP25FA,PL,50.52243,18.05458,2011-07-20 18:00:00+00
138184,11165,1675,0,OP315D,PL,53.85578,17.49752,2011-08-20 10:00:00+00
154446,11165,8592,3,OP3F76,PL,53.0115,18.61175,2011-10-15 10:00:00+00
153531,11165,2395,1,,,,,2011-10-15 17:20:00+00
154291,11165,1110,0,OP3F76,PL,53.0115,18.61175,2011-10-15 18:00:00+00
153987,11165,9643,3,OP3F76,PL,53.0115,18.61175,2011-10-15 19:00:00+00
160406,11165,1110,3,OP3F76,PL,53.0115,18.61175,2011-10-15 19:32:00+00
153398,11165,127,3,,PL,53.016,18.61183,2011-10-15 20:00:00+00
153986,11165,9698,3,OP3F76,PL,53.0115,18.61175,2011-10-15 20:01:00+00
256674,11165,10761,1,,,,,2012-09-26 10:00:00+00
260991,11165,,0,OP5A15,PL,50.60125,16.50208,2012-10-11 10:00:00+00
264631,11165,7057,3,OP33BA,PL,50.84617,16.69903,2012-10-13 10:00:00+00
268194,11165,16843,3,OP33BA,PL,51.1151,16.94777,2012-10-13 12:59:00+00
268260,11165,15651,3,OP5B32,PL,50.84738,16.69745,2012-10-13 17:25:00+00
