id,geokret,author,move_type,waypoint,country,lat,lon,moved_on_datetime
90767,10987,3288,5,,PL,53.7959,22.3562,2010-11-11 11:00:00+00
90813,10987,3288,0,OP2C99,PL,53.80085,21.95933,2010-11-11 13:29:00+00
91118,10987,7618,1,,,,,2010-11-13 09:30:00+00
91131,10987,7618,0,OP0FE4,PL,53.7827,21.88435,2010-11-13 11:00:00+00
113905,10987,8552,1,,,,,2011-03-13 10:00:00+00
114113,10987,8552,0,OP031E,PL,53.7344,21.73632,2011-03-13 11:00:00+00
349316,10987,20118,1,,,,,2012-04-11 10:00:00+00
203588,10987,13994,1,,,,,2012-05-04 10:00:00+00
211127,10987,13994,0,OP5095,PL,52.79788,22.127,2012-05-26 10:00:00+00
212012,10987,8871,0,OP0858,PL,50.86083,21.0466,2012-05-28 10:00:00+00
213137,10987,12810,1,,,,,2012-05-30 10:00:00+00
213858,10987,12810,5,OP478D,PL,52.43003,16.95183,2012-06-03 10:00:00+00
240677,10987,12810,0,OP3D9E,PL,52.71403,16.88238,2012-08-17 10:00:00+00
242239,10987,11925,1,,,,,2012-08-20 10:00:00+00
243597,10987,11925,0,OP5753,PL,50.19837,19.02655,2012-08-23 10:00:00+00
246692,10987,11777,1,,,,,2012-08-30 10:00:00+00
249499,10987,11777,0,OP4F4F,PL,50.281,19.12725,2012-09-07 10:00:00+00
348772,10987,,0,,PL,50.28793,18.98692,2013-06-22 07:40:00+00
