id,type,owner,created_on_datetime,holder
6596,0,1162,2010-01-14 20:19:05+00,42296
10795,0,7474,2010-10-27 06:54:57+00,
15209,0,10445,2011-07-22 19:42:01+00,
20530,0,13039,2012-01-31 16:10:19+00,13039
26929,0,14916,2012-09-17 18:44:26+00,
50522,0,25633,2015-05-09 10:07:53+00,
52188,0,26422,2015-07-25 23:10:34+00,
52212,0,26422,2015-07-25 23:13:30+00,
53361,0,9675,2015-09-19 15:03:26+00,
53707,2,30921,2015-10-12 21:58:52+00,30921
54801,0,19676,2016-01-08 23:42:38+00,32317
54875,0,30841,2016-01-14 17:45:21+00,
