id,geokret,author,move_type,waypoint,country,lat,lon,moved_on_datetime
846177,54801,,3,,US,28.5521,-81.33218,2016-01-15 07:10:00+00
846143,52188,30841,5,GC5K3V1,FR,43.5954,7.00528,2016-01-15 08:04:00+00
846144,54875,30841,5,GC5K3V1,FR,43.5954,7.00528,2016-01-15 08:04:00+00
846145,52212,30841,5,GC5K3V1,FR,43.5954,7.00528,2016-01-15 08:04:00+00
846149,53361,22543,5,GC40JXE,DE,53.7694,9.78152,2016-01-15 09:24:00+00
846150,53361,22543,5,GC40JXM,DE,53.7641,9.78732,2016-01-15 09:38:00+00
846151,53361,22543,5,GC40JXQ,DE,53.76647,9.79107,2016-01-15 09:53:00+00
846146,20530,13039,5,GC52082,ES,41.40572,2.0235,2016-01-15 10:47:00+00
846147,6596,20723,5,GC5F9KE,PL,52.21083,20.9873,2016-01-15 10:59:00+00
846148,50522,20723,5,GC5F9KE,PL,52.21083,20.9873,2016-01-15 10:59:00+00
846141,15209,,1,,,,,2016-01-15 11:00:00+00
846138,10795,,1,,,,,2016-01-15 11:10:00+00
846179,26929,,1,,,,,2016-01-15 11:45:00+00
846180,26929,,5,,SK,48.28887,17.25552,2016-01-15 12:10:00+00
846159,53707,30921,2,,,,,2016-01-15 12:46:00+00
